placemark_id,name,address,lat,lng
80734,POLISI,KAMAL RAYA JAKARTA BARAT DKI JAKARTA,-6.11799,106.718468
80795,POLISI KESATUAN PELAKSANA PENGAMANAN PELABUHAN TANJUNG PRIOK,PASOSO JAKARTA UTARA DKI JAKARTA,-6.10765,106.881866
80822,POLISI PERAIRAN,INDUSTRI JAKARTA UTARA DKI JAKARTA,-6.11496,106.86956
80840,POLISI RESOR JAKARTA BARAT,LETNAN JENDERAL S. PARMAN 31 JAKARTA BARAT DKI JAKARTA,-6.195,106.797798
80844,POLISI RESOR JAKARTA UTARA,LAKSAMANA YOS SUDARSO JAKARTA UTARA DKI JAKARTA,-6.1167,106.893784
80951,POLISI SEKTOR CAKUNG,BEKASI RAYA JAKARTA TIMUR DKI JAKARTA,-6.18429,106.940643
80956,POLISI SEKTOR CENGKARENG,LINGKAR LUAR CENGKARENG JAKARTA BARAT DKI JAKARTA,-6.14603,106.729042
80960,POLISI SEKTOR CILINCING,SUNGAI LANDAK JAKARTA UTARA DKI JAKARTA,-6.10237,106.939247
80962,POLISI SEKTOR CIPAYUNG,BAMBU WULUNG JAKARTA TIMUR DKI JAKARTA,-6.31849,106.905617
80975,POLISI SEKTOR DUREN SAWIT,KALI MALANG JAKARTA TIMUR DKI JAKARTA,-6.24762,106.917419
80979,POLISI SEKTOR GEMPOL,BAMBU APUS JAKARTA TIMUR DKI JAKARTA,-6.31461,106.89418
80988,POLISI SEKTOR JAGAKARSA,TIMBUL JAKARTA SELATAN DKI JAKARTA,-6.35089,106.80793
80993,POLISI SEKTOR JATINEGARA,OTTO ISKANDARDINATA JAKARTA TIMUR DKI JAKARTA,-6.24382,106.86824
81005,POLISI SEKTOR KARET,KIAI HAJI MAS MANSYUR JAKARTA PUSAT DKI JAKARTA,-6.20275,106.816162
81009,POLISI SEKTOR KEBAYORAN LAMA,CIPUTAT RAYA JAKARTA SELATAN DKI JAKARTA,-6.25,106.778351
81013,POLISI SEKTOR KEMAYORAN,CASA JAKARTA PUSAT DKI JAKARTA,-6.15934,106.853241
81016,POLISI SEKTOR KEPULAUAN SERIBU SELATAN,PULAU TIDUNG KECAMATAN KEPULAUAN SERIBU SELATAN KEPULAUAN SERIBU DKI JAKARTA,-5.8023,106.509018
81018,POLISI SEKTOR KOJA,BHAYANGKARA TUGU JAKARTA UTARA DKI JAKARTA,-6.12192,106.914421
81034,POLISI SEKTOR KRAMATJATI,INPRES JAKARTA TIMUR DKI JAKARTA,-6.29004,106.86927
81065,POLISI SEKTOR MAMPANG,KAPTEN PIERRE TENDEAN 9B JAKARTA SELATAN DKI JAKARTA,-6.2406,106.826698
81084,POLISI SEKTOR METRO TEBET,PROFESOR DOKTOR SUPOMO JAKARTA SELATAN DKI JAKARTA,-6.23135,106.846481
81108,POLISI SEKTOR PALMERAH,PALMERAH BARAT JAKARTA BARAT DKI JAKARTA,-6.20773,106.789879
81116,POLISI SEKTOR PASAR MINGGU,RAGUNAN JAKARTA SELATAN DKI JAKARTA,-6.28564,106.842018
81117,POLISI SEKTOR PASAR REBO,BOGOR RAYA JAKARTA TIMUR DKI JAKARTA,-6.33664,106.8675
81130,POLISI SEKTOR PENJARINGAN,PLUIT SELATAN RAYA JAKARTA UTARA DKI JAKARTA,-6.12505,106.800911
81137,POLISI SEKTOR PRAMUKA,JENDERAL AHMAD YANI JAKARTA PUSAT DKI JAKARTA,-6.19253,106.87471
81260,POLISI SUB SEKTOR KAWASAN MUARA ANGKE,DERMAGA 1 JAKARTA UTARA DKI JAKARTA,-6.10857,106.773529
81261,POLISI SUB SEKTOR KEPULAUAN SERIBU SELATAN,PULAU TIDUNG KEPULAUAN SERIBU DKI JAKARTA,-5.79891,106.498741
81271,POLISI SUBSEKTOR PEJATEN BARAT,KEMANG TIMUR JAKARTA SELATAN DKI JAKARTA,-6.27158,106.822968
81272,POLISI SUBSEKTOR PETUKANGAN SELATAN,CILEDUG RAYA JAKARTA SELATAN DKI JAKARTA,-6.23693,106.758118
81390,POS POLISI ANCOL,TAMAN IMPIAN JAYA ANCOL JAKARTA UTARA DKI JAKARTA,-6.12735,106.842903
81403,POS POLISI BENDUNGAN HILIR,BENDUNGAN HILIR JAKARTA PUSAT DKI JAKARTA,-6.2144,106.814941
81405,POS POLISI BINTANG MAS,R.E. MARTADINATA JAKARTA UTARA DKI JAKARTA,-6.13074,106.830261
81409,POS POLISI BONA INDAH,BONA INDAH 8 JAKARTA SELATAN DKI JAKARTA,-6.30057,106.782219
81417,POS POLISI CASA GOYA,KEBON JERUK RAYA JAKARTA BARAT DKI JAKARTA,-6.19899,106.781059
81423,POS POLISI CITRALAND,LETNAN JENDERAL S. PARMAN JAKARTA BARAT DKI JAKARTA,-6.16739,106.787521
81444,POS POLISI GEDONG,BOGOR RAYA JAKARTA TIMUR DKI JAKARTA,-6.30568,106.864998
81447,POS POLISI GLODOK,PINTU BESAR SELATAN JAKARTA BARAT DKI JAKARTA,-6.14239,106.815102
81458,POS POLISI JELAMBAR 1,PANGERAN TUBAGUS ANGKE JAKARTA BARAT DKI JAKARTA,-6.14859,106.773682
81459,POS POLISI JELAMBAR 2,HADIAH UTAMA JAKARTA BARAT DKI JAKARTA,-6.15861,106.782066
81460,POS POLISI JEMBATAN BESI,PROFESOR DOKTOR LATUMETEN JAKARTA BARAT DKI JAKARTA,-6.15155,106.79496
81480,POS POLISI KELAPA GADING BARAT,PERINTIS KEMERDEKAAN JAKARTA UTARA DKI JAKARTA,-6.17211,106.889793
81488,POS POLISI KIAI TAPA,KIAI TAPA JAKARTA BARAT DKI JAKARTA,-6.16644,106.791382
81492,POS POLISI KOPI,KALI BESAR TIMUR 3 JAKARTA BARAT DKI JAKARTA,-6.13402,106.811119
81494,POS POLISI KUNINGAN,JENDERAL GATOT SUBROTO JAKARTA SELATAN DKI JAKARTA,-6.23854,106.829391
81508,POS POLISI LATUHARHARI,LATUHARHARI JAKARTA PUSAT DKI JAKARTA,-6.20449,106.834641
81521,POS POLISI MANGGARAI,MANGGARAI UTARA 1 JAKARTA SELATAN DKI JAKARTA,-6.20987,106.850632
81524,POS POLISI MARUNDA,JAYAPURA JAKARTA UTARA DKI JAKARTA,-6.09921,106.950371
81525,POS POLISI MATRAMAN DALAM,MATRAMAN DALAM JAKARTA PUSAT DKI JAKARTA,-6.20193,106.850967
81535,POS POLISI MONAS TIMUR,SILANG MERDEKA TENGGARA JAKARTA PUSAT DKI JAKARTA,-6.17841,106.830673
