id,nama_rsu,jenis_rsu,location/alamat,location/latitude,location/longitude,kode_pos,telepon/0,telepon/1,telepon/2,faximile/0,faximile/1,website,email,kode_kota,kode_kecamatan,kode_kelurahan,latitude,longitude,shape
2,Tarakan,Rumah Sakit Umum Daerah,Jl. Kyai Caringin No. 7,-6.171333,106.810013,10150,3503150,3503003,3508993,3503412, 3863309,www.rstarakanjakarta.com,"kusmedi@gmail.com, rsd_tarakan@yahoo.com",3173,3173080,3173080001,-6.171333,106.810013,POINT(106.810013 -6.171333)
3,DR. Mintohardjo,Rumah Sakit Umum TNI - Angkatan Laut,Jl. Bendungan Hilir No. 17,-6.210848,106.811996,10210,5703081 - 85,,,5711997,,www.rsaldrmintohardjo.com,rsalmintohardjo@ymail.com,3173,3173010,3173010002,-6.210848,106.811996,POINT(106.811996 -6.210848)
4,Sahid Sahirman,Rumah Sakit Umum,Jl. Jenderal Sudirman Kavling 86,-6.209445,106.819382,10220,5704591,5703231,,5705505,5727213,www.ssmh.co.id,information@ssmh.co.id,3173,3173010,3173010003,-6.209445,106.819382,POINT(106.819382 -6.209445)
5,PGI Cikini,Rumah Sakit Umum,Jl. Raden Saleh No. 40 ,-6.19127,106.841408,10330,38997777,,,31924663,31908391, www.rscikini.com,"tedjowa@yahoo.com, mail@rscikini.com",3173,3173020,3173020003,-6.19127,106.841408,POINT(106.841408 -6.19127)
6,Menteng Mitra Afia,Rumah Sakit Umum,Jl. Kali Pasir  No. 9,-6.187353,106.839081,10340,3154050,,,3146309,,www.rsmentengmitraafia.com,"panela_ramadita@yahoo.com, info@rsmentengmitraafia.com",3173,3173020,3173020003,-6.187353,106.839081,POINT(106.839081 -6.187353)
7,Abdi Waluyo,Rumah Sakit Umum,Jalan  HOS Cokroaminoto  Nomor 31-33,-6.189762,106.8293,10350,3144989,,,31930866,,,dr.migot@yahoo.co.id,3173,3173020,3173020004,-6.189762,106.8293,POINT(106.8293 -6.189762)
8,Bunda Jakarta,Rumah Sakit Umum,Jl. Teuku Cik Ditiro No. 21,-6.196026,106.836517,10350,3909692,31923939,,3101077,,www.bunda.co.id,bundahospital@bunda.co.id,3173,3173020,3173020004,-6.196026,106.836517,POINT(106.836517 -6.196026)
9,Gatot Soebroto,Rumah Sakit Umum Pusat Angkatan Darat,Jl. Dr. Abdul Rachman Saleh 24,-6.176608,106.836861,10410,3441008,,,3440693,,,rspadgatsu@pdpersi.co.id,3173,3173030,3173030005,-6.176608,106.836861,POINT(106.836861 -6.176608)
10,Dr. Cipto Mangunkusumo,Rumah Sakit Umum Pusat Nasional,Jl. Diponegoro No. 71,-6.196762,106.846886,10430,3918301,,,3148991,,www.rscm.co.id,"perbendaharaan.rscm@yahoo.com, dir_rscm@yahoo.com",3173,3173030,3173030001,-6.196762,106.846886,POINT(106.846886 -6.196762)
11,Moh Ridwan Meuraksa,Rumah Sakit Tk. II,Jl. Kramat Raya  No. 174,-6.191414,106.847,10430,3150535 ,323094,,3916888,,,"tanjung_widia@yahoo.com, rsmrm74@yahoo.com",3173,3173030,3173030001,-6.191414,106.847,POINT(106.847 -6.191414)
12,Kramat 128,Rumah Sakit Umum,Jalan  Kramat Raya  Nomor 128,-6.18536,106.843994,10430,3909513 ; 3909514,,,3909125,,www.rskramat128.com,dyah.agustina.w@gmail.com ; info@rskramat128.com,3173,3173030,3173030001,-6.18536,106.843994,POINT(106.843994 -6.18536)
13,PK. St. Carolus ,Rumah Sakit Umum,Jl. Salemba Raya No. 41,-6.195917,106.851006,10440,3904441,,,3103226,,,"markus_wasesa@yahoo.com, humas_pksc.or.id, carolus@pdpersi.co.id",3173,3173030,3173030002,-6.195917,106.851006,POINT(106.851006 -6.195917)
14,Moh. Husni Thamrin Salemba,Rumah Sakit Umum,Jl. Salemba Tengah 26 - 28,-6.193444,106.852005,10440,3904422 Ext.1900 ;1919,,,3107816-2305182,,www.thamrinhospital.com,info@thamrinhospital.com,3173,3173030,3173030002,-6.193444,106.852005,POINT(106.852005 -6.193444)
15,Islam Jakarta Cempaka Putih,Rumah Sakit Umum,Jl. Cempaka Putih Tengah I / 1,-6.170203,106.870659,10510,42801567-4250451,,,4206681,,www.rsi.co.id,"rsijpusat@rsi.co.id,  rsij@cbn.net.id",3173,3173050,3173050002,-6.170203,106.870659,POINT(106.870659 -6.170203)
16,Pertamina Jaya,Rumah Sakit Umum,"Jl. Achmad Yani No. 2, By Pass",-6.173366,106.876312,10510,4211911,,,4211913,,www.rspj.co.id,pertamedika.rspj@gmail.com,3173,3173050,3173050002,-6.173366,106.876312,POINT(106.876312 -6.173366)
