id,name,geonamesId,geonamesName,lat,lon
Q5672,Aceh Singkil,6713333,Kabupaten Aceh Singkil,2.41667,97.91667
Q5763,Aceh Tenggara,1215632,Kabupaten Aceh Tenggara,3.36667,97.7
Q14131,Alor,1651608,Kabupaten Alor,-8.3,124.56667
Q27228,Asmat,9165711,Kabupaten Asmat,-5.3795,138.46344
Q14170,Balangan,9165684,Kabupaten Balangan,-2.32314,115.62922
Q15810,Banggai,6983688,Kabupaten Banggai,-1.2835,122.8892
Q12488339,Banggai Laut,9846665,Banggai Laut Regency,-1.61841,123.49388
Q8163,Bangka,1650314,Kabupaten Bangka,-1.91667,105.93333
Q8176,Bangka Barat,9821906,West Bangka Regency,-1.95839,105.53741
Q8173,Bangka Selatan,9821904,South Bangka Regency,-2.66803,106.01257
Q8166,Bangka Tengah,9821905,Central Bangka Regency,-2.33989,106.1142
Q11066,Bangkalan,1650297,Kabupaten Bangkalan,-7.05,112.93333
Q14171,Banjar,1650231,Banjar Regency,-3.31667,115.08333
Q14590,Bantaeng,1650183,Kabupaten Bantaeng,-5.48333,119.98333
Q11477,Bantul,1650117,Kabupaten Bantul,-7.9,110.36667
Q8107,Banyuasin,1634644,Kabupaten Musi Banyuasin,-2.41667,103.75
Q14172,Barito Kuala,1649992,Kabupaten Barito Kuala,-3.08333,114.61667
Q14391,Barito Selatan,1649991,Kabupaten Barito Selatan,-1.86667,114.73333
Q14190,Barito Timur,1649990,Kabupaten Barito Timur,-1.93333,115.1
Q14209,Barito Utara,1649989,Kabupaten Barito Utara,-0.98333,115.1
Q14593,Barru,1649975,Kabupaten Barru,-4.43333,119.68333
Q7370,Batanghari,1649863,Kabupaten Batang Hari,-1.75,103.11667
Q5797,Batu Bara,9821911,Batubara Regency,3.16166,99.52652
Q10340,Bekasi,1649377,Kabupaten Bekasi,-6.24667,107.10833
Q8164,Belitung,1649281,Kabupaten Belitung,-2.86667,107.7
Q8169,Belitung Timur,9821907,East Belitung Regency,-2.9627,108.15216
Q14156,Bengkayang,8740064,Kabupaten Bengkayang,1.06911,109.66393
Q8040,Bengkulu Selatan,1649146,Kabupaten Bengkulu Selatan,-4.35,103.03333
Q7796,Bengkulu Tengah,9821946,Central Bengkulu Regency,-3.20679,102.12616
Q8034,Bengkulu Utara,1649145,Kabupaten Bengkulu Utara,-3.33333,102.05
Q14395,Berau,1649040,Kabupaten Berau,2,117.3
Q27246,Biak Numfor,8530432,Kabupaten Biak Numfor,-1.03333,136
Q10097,Bintan,9034776,Kabupaten Bintan,0.95,104.61944
Q5722,Bireuen,6729814,Kabupaten Bireuen,5.08333,96.58333
Q11069,Blitar,1648579,Kabupaten Blitar,-8.13333,112.25
Q10608,Blora,1648567,Kabupaten Blora,-7.06667,111.38333
Q10363,Bogor,1648471,Kabupaten Bogor,-6.58333,106.71667
Q15833,Bolaang Mongondow,1648339,Kabupaten Bolaang Mongondow,0.75,124.08333
Q15841,Bolaang Mongondow Selatan,9821949,South Bolaang Mongondow Regency,0.40912,123.75961
Q15834,Bolaang Mongondow Timur,9821950,East Bolaang Mongondow Regency,0.72073,124.50256
Q15837,Bolaang Mongondow Utara,9821951,North Bolaang Mongondow Regency,0.78527,123.41766
Q15356,Bombana,9170724,Kabupaten Bombana,-4.6257,121.81641
Q11076,Bondowoso,6829652,Kabupaten Bondowoso,-7.9404,113.9834
Q14595,Bone,1648256,Kabupaten Bone,-4.7,120.13333
Q14519,Bone Bolango,9165685,Kabupaten Bone Bolango,0.50296,123.27501
Q27262,Boven Digoel,9166001,Kabupaten Boven Digoel,-5.70519,140.36349
Q10610,Brebes,1648064,Kabupaten Brebes,-7.05,108.9
Q14596,Bulukumba,1647738,Kabupaten Bulukumba,-5.41667,120.23333
Q14404,Bulungan,8613240,Kabupaten Bulungan,3,117.16667
Q16564,Buru,9165994,Kabupaten Buru,-3.32767,126.68413
Q16583,Buru Selatan,9821953,South Buru Regency,-3.52187,126.59271
