id,name,geonamesId,place,stateId,stateIso,countryId,countryIso
Q5778,Aceh Barat,1215636,town,Q1823,ID-AC,Q252,ID
Q5662,Aceh Besar,1215635,town,Q1823,ID-AC,Q252,ID
Q5667,Aceh Jaya,6705241,town,Q1823,ID-AC,Q252,ID
Q5759,Aceh Selatan,1215634,town,Q1823,ID-AC,Q252,ID
Q5678,Aceh Tamiang,6701575,town,Q1823,ID-AC,Q252,ID
Q5675,Aceh Tengah,1215633,town,Q1823,ID-AC,Q252,ID
Q5674,Aceh Timur,1215631,town,Q1823,ID-AC,Q252,ID
Q5750,Aceh Utara,1215630,town,Q1823,ID-AC,Q252,ID
Q5779,Banda Aceh,1215502,city,Q1823,ID-AC,Q252,ID
Q5719,Bener Meriah,6712486,town,Q1823,ID-AC,Q252,ID
Q5781,Langsa,1214724,city,Q1823,ID-AC,Q252,ID
Q5784,Lhokseumawe,1214658,city,Q1823,ID-AC,Q252,ID
Q5787,Sabang,1214026,city,Q1823,ID-AC,Q252,ID
Q5757,Simeulue,1213749,town,Q1823,ID-AC,Q252,ID
Q5789,Subulussalam,8572074,city,Q1823,ID-AC,Q252,ID
Q11491,Bangli,7054929,town,Q3125978,ID-BA,Q252,ID
Q11495,Buleleng,1647803,town,Q3125978,ID-BA,Q252,ID
Q11506,Denpasar,1645528,city,Q3125978,ID-BA,Q252,ID
Q11496,Gianyar,7053392,town,Q3125978,ID-BA,Q252,ID
Q11503,Klungkung,1639850,town,Q3125978,ID-BA,Q252,ID
Q8179,Pangkal Pinang,1632654,city,Q1866,ID-BB,Q252,ID
Q8042,Bengkulu,1649150,city,Q1890,ID-BE,Q252,ID
Q7940,Kepahiang,1641464,town,Q1890,ID-BE,Q252,ID
Q10124,Cilegon,1646511,city,Q3540,ID-BT,Q252,ID
Q10119,Lebak,6762593,town,Q3540,ID-BT,Q252,ID
Q10121,Pandeglang,1632822,town,Q3540,ID-BT,Q252,ID
Q10126,Serang,1627549,city,Q3540,ID-BT,Q252,ID
Q10127,Tangerang,1625084,city,Q3540,ID-BT,Q252,ID
Q10128,Tangerang Selatan,8581443,city,Q3540,ID-BT,Q252,ID
Q14508,Boalemo,1623890,town,Q5067,ID-GO,Q252,ID
Q14525,Gorontalo,1643837,city,Q5067,ID-GO,Q252,ID
Q14523,Pahuwato,1967697,town,Q5067,ID-GO,Q252,ID
Q7373,Bungo,7910349,town,Q2051,ID-JA,Q252,ID
Q7578,Jambi,1642857,city,Q2051,ID-JA,Q252,ID
Q7376,Kerinci,1640224,town,Q2051,ID-JA,Q252,ID
Q7592,Sungai Penuh,1625929,city,Q2051,ID-JA,Q252,ID
Q10332,Bandung,1650352,town,Q3724,ID-JB,Q252,ID
Q10389,Bandung,1650357,city,Q3724,ID-JB,Q252,ID
Q10388,Bandung Barat,7910336,town,Q3724,ID-JB,Q252,ID
Q10391,Banjar,1650233,city,Q3724,ID-JB,Q252,ID
Q10392,Bekasi,1649378,city,Q3724,ID-JB,Q252,ID
Q10393,Bogor,1648473,city,Q3724,ID-JB,Q252,ID
Q10367,Cianjur,1647142,town,Q3724,ID-JB,Q252,ID
Q10394,Cimahi,1646446,city,Q3724,ID-JB,Q252,ID
Q10395,Cirebon,1646170,city,Q3724,ID-JB,Q252,ID
Q10396,Depok,6751097,city,Q3724,ID-JB,Q252,ID
Q10371,Garut,6739432,town,Q3724,ID-JB,Q252,ID
Q10380,Subang,6581948,town,Q3724,ID-JB,Q252,ID
Q10397,Sukabumi,1626381,city,Q3724,ID-JB,Q252,ID
Q10399,Tasikmalaya,1624647,city,Q3724,ID-JB,Q252,ID
Q11067,Banyuwangi,1650077,town,Q3586,ID-JI,Q252,ID
Q11434,Batu,1649824,city,Q3586,ID-JI,Q252,ID
Q11441,Blitar,1648580,city,Q3586,ID-JI,Q252,ID
Q11071,Bojonegoro,1648451,town,Q3586,ID-JI,Q252,ID
Q11077,Gresik,1643776,town,Q3586,ID-JI,Q252,ID
Q11080,Jember,1642588,town,Q3586,ID-JI,Q252,ID
Q11082,Jombang,1642413,town,Q3586,ID-JI,Q252,ID
Q11443,Kediri,1640660,city,Q3586,ID-JI,Q252,ID
Q11086,Lamongan,1638562,town,Q3586,ID-JI,Q252,ID
Q11087,Lumajang,1637089,town,Q3586,ID-JI,Q252,ID
Q11444,Madiun,1636930,city,Q3586,ID-JI,Q252,ID
Q11092,Magetan,1636878,town,Q3586,ID-JI,Q252,ID
Q11445,Malang,1636722,city,Q3586,ID-JI,Q252,ID
Q11447,Mojokerto,1635111,city,Q3586,ID-JI,Q252,ID
Q11098,Nganjuk,1634131,town,Q3586,ID-JI,Q252,ID
Q11112,Pamekasan,1632978,town,Q3586,ID-JI,Q252,ID
Q11115,Pasuruan,1632032,town,Q3586,ID-JI,Q252,ID
Q11449,Pasuruan,1632033,city,Q3586,ID-JI,Q252,ID
Q11118,Ponorogo,1630798,town,Q3586,ID-JI,Q252,ID
Q11450,Probolinggo,1630634,city,Q3586,ID-JI,Q252,ID
Q11129,Sidoarjo,1627253,town,Q3586,ID-JI,Q252,ID
Q11134,Situbondo,1626801,town,Q3586,ID-JI,Q252,ID
Q11137,Sumenep,1626099,town,Q3586,ID-JI,Q252,ID
Q11462,Surabaya,1625822,city,Q3586,ID-JI,Q252,ID
Q11139,Trenggalek,1623251,town,Q3586,ID-JI,Q252,ID
Q11143,Tulungagung,1623080,town,Q3586,ID-JI,Q252,ID
Q10116,Jakarta Barat,1642909,city,Q3630,ID-JK,Q252,ID
Q10109,Jakarta Pusat,1642908,city,Q3630,ID-JK,Q252,ID
Q10114,Jakarta Selatan,1642905,city,Q3630,ID-JK,Q252,ID
Q10111,Jakarta Timur,1642904,city,Q3630,ID-JK,Q252,ID
Q10113,Jakarta Utara,1642903,city,Q3630,ID-JK,Q252,ID
Q10604,Banjarnegara,6380795,town,Q3557,ID-JT,Q252,ID
Q10605,Banyumas,1650094,town,Q3557,ID-JT,Q252,ID
Q10607,Batang,1649879,town,Q3557,ID-JT,Q252,ID
Q10609,Boyolali,1648083,town,Q3557,ID-JT,Q252,ID
Q10612,Cilacap,1646559,town,Q3557,ID-JT,Q252,ID
Q10613,Demak,6738881,town,Q3557,ID-JT,Q252,ID
Q10614,Grobogan,1643770,town,Q3557,ID-JT,Q252,ID
Q10615,Jepara,1642545,town,Q3557,ID-JT,Q252,ID
Q10619,Klaten,2007277,town,Q3557,ID-JT,Q252,ID
Q10620,Kudus,1639215,town,Q3557,ID-JT,Q252,ID
Q11017,Magelang,1636884,city,Q3557,ID-JT,Q252,ID
Q11026,Pekalongan,1631766,city,Q3557,ID-JT,Q252,ID
Q10624,Pemalang,1631648,town,Q3557,ID-JT,Q252,ID
Q11021,Salatiga,1972989,city,Q3557,ID-JT,Q252,ID
Q11025,Semarang,1627896,city,Q3557,ID-JT,Q252,ID
Q10687,Semarang,6410701,town,Q3557,ID-JT,Q252,ID
Q4803,Surakarta,1625812,city,Q3557,ID-JT,Q252,ID
