id,name_id,geonamesId,provinceIso,capitalId,capitalName_id,countryId,countryIso,countryIso3
Q1823,Aceh,1215638,ID-AC,Q5779,Banda Aceh,Q252,ID,IDN
Q3125978,Bali,1650535,ID-BA,Q11506,Denpasar,Q252,ID,IDN
Q3540,Banten,1923045,ID-BT,Q10126,Serang,Q252,ID,IDN
Q1890,Bengkulu,1649147,ID-BE,Q8042,Bengkulu,Q252,ID,IDN
Q5067,Gorontalo,1923046,ID-GO,Q14525,Gorontalo,Q252,ID,IDN
Q2051,Jambi,1642856,ID-JA,Q7578,Jambi,Q252,ID,IDN
Q3724,Jawa Barat,1642672,ID-JB,Q10389,Bandung,Q252,ID,IDN
Q3557,Jawa Tengah,1642669,ID-JT,Q11025,Semarang,Q252,ID,IDN
Q3586,Jawa Timur,1642668,ID-JI,Q11462,Surabaya,Q252,ID,IDN
Q3916,Kalimantan Barat,1641900,ID-KB,Q14168,Pontianak,Q252,ID,IDN
Q3906,Kalimantan Selatan,1641899,ID-KS,Q14182,Banjarmasin,Q252,ID,IDN
Q3891,Kalimantan Tengah,1641898,ID-KT,Q14409,Palangka Raya,Q252,ID,IDN
Q3899,Kalimantan Timur,1641897,ID-KI,Q14499,Samarinda,Q252,ID,IDN
Q3903,Kalimantan Utara,8604684,ID-KU,Q10855339,Kota Tanjung Selor,Q252,ID,IDN
Q1866,Kepulauan Bangka Belitung,1923047,ID-BB,Q8179,Pangkal Pinang,Q252,ID,IDN
Q2223,Kepulauan Riau,1996551,ID-KR,Q10104,Tanjung Pinang,Q252,ID,IDN
Q2110,Lampung,1638535,ID-LA,Q8156,Bandar Lampung,Q252,ID,IDN
Q5093,Maluku,1636627,ID-MA,Q18970,Ambon,Q252,ID,IDN
Q5062,Nusa Tenggara Barat,1633792,ID-NB,Q14126,Mataram,Q252,ID,IDN
Q5061,Nusa Tenggara Timur,1633791,ID-NT,Q14155,Kupang,Q252,ID,IDN
Q5095,Papua,1643012,ID-PA,Q27860,Jayapura,Q252,ID,IDN
Q5096,Papua Barat,1996549,ID-PB,Q848672,Manokwari,Q252,ID,IDN
Q2175,Riau,1629652,ID-RI,Q7786,Pekanbaru,Q252,ID,IDN
Q5082,Sulawesi Barat,1996550,ID-SR,Q1070920,Mamuju,Q252,ID,IDN
Q5078,Sulawesi Selatan,1626232,ID-SN,Q14634,Makassar,Q252,ID,IDN
Q5065,Sulawesi Tengah,1626231,ID-ST,Q15826,Palu,Q252,ID,IDN
Q5075,Sulawesi Tenggara,1626230,ID-SG,Q15379,Kendari,Q252,ID,IDN
Q5068,Sulawesi Utara,1626229,ID-SA,Q15847,Manado,Q252,ID,IDN
Q2772,Sumatera Barat,1626197,ID-SB,Q7253,Padang,Q252,ID,IDN
Q2271,Sumatera Selatan,1626196,ID-SS,Q8131,Palembang,Q252,ID,IDN
Q2140,Sumatera Utara,1213642,ID-SU,Q5972,Medan,Q252,ID,IDN
Q3741,Yogyakarta,1621176,ID-YO,Q7568,Yogyakarta,Q252,ID,IDN
